COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bolivia; Plurinational State Of";BO;BOL;30;"Chuquisaca";Department;"H";12739
"Bolivia; Plurinational State Of";BO;BOL;30;"Cochabamba";Department;"C";12741
"Bolivia; Plurinational State Of";BO;BOL;30;"El Beni";Department;"B";12740
"Bolivia; Plurinational State Of";BO;BOL;30;"La Paz";Department;"L";12742
"Bolivia; Plurinational State Of";BO;BOL;30;"Oruro";Department;"O";12738
"Bolivia; Plurinational State Of";BO;BOL;30;"Pando";Department;"N";12743
"Bolivia; Plurinational State Of";BO;BOL;30;"Potosí";Department;"P";12737
"Bolivia; Plurinational State Of";BO;BOL;30;"Santa Cruz";Department;"S";12744
"Bolivia; Plurinational State Of";BO;BOL;30;"Tarija";Department;"T";12745
