COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Djibouti";DJ;DJI;63;"Ali Sabieh";Region;"AS";13283
"Djibouti";DJ;DJI;63;"Arta";Region;"AR";19439
"Djibouti";DJ;DJI;63;"Dikhil";Region;"DI";13282
"Djibouti";DJ;DJI;63;"Djibouti";City;"DJ";13280
"Djibouti";DJ;DJI;63;"Obock";Region;"OB";13281
"Djibouti";DJ;DJI;63;"Tadjourah";Region;"TA";13284
